Aplicación,Categoría,Tiempo de uso (min),Consultas,Notificaciones
Instagram,Redes Sociales,522,145,75
WhatsApp,Redes Sociales,330,270,513
Waze,Viajes,212,23,3
Chess,Juegos,0,0,10
Facebook,Redes Sociales,28,7,0
Safari,Otros,56,19,0
TikTok,Redes Sociales,0,0,66
Outlook,Productividad y Fiananzas,26,25,0
Duolingo,Educación,21,8,0
Gmail,Productividad y Fiananzas,19,18,52
Balanz,Productividad y Fiananzas,19,8,0
Google Maps,Viajes,7,3,2
Mercado Libre,Compras,45,14,13
Patagonia Movil,Productividad y Fiananzas,6,2,3
X,Redes Sociales,46,5,3
Mercado Pago,Productividad y Fiananzas,23,18,10
You Tube Music,Ocio,4,1,1
App YPF,Productividad y Fiananzas,1,1,1
ICBC,Productividad y Fiananzas,6,2,0
LinkendIn,Redes Sociales,1,1,0
ChatGPT,Productividad y Fiananzas,12,6,5
Autenticación de Usuario,Otros,3,1,0
Personal Pay,Productividad y Fiananzas,3,1,5
Calendario,Productividad y Fiananzas,2,1,0
Calculadora,Otros,9,9,0
Clima,Información,2,6,0
La Caja,Productividad y Fiananzas,0,0,0
Flow,Ocio,0,0,1
Despegar,Viajes,0,0,0
You Tube,Ocio,14,1,1
Cámara,Otros,11,9,0
Investing,Productividad y Fiananzas,4,1,0
