Aplicación,Categoría,Tiempo de uso (min),Consultas,Notificaciones
Instagram,Redes Sociales,"402,25",116,74
WhatsApp,Redes Sociales,"323,75","299,75","549,5"
Waze,Viajes,"152,25",18,"2,25"
Chess,Juegos,"7,5","1,25",5
Facebook,Redes Sociales,11,"4,25",0
Safari,Otros,"41,625","18,75",0
TikTok,Redes Sociales,"12,5","0,75","38,5"
Outlook,Productividad y Fiananzas,"25,25","20,75","5,5"
Duolingo,Educación,"20,25","6,5",2
Gmail,Productividad y Fiananzas,"27,5","17,25",46
Balanz,Productividad y Fiananzas,"14,5",8,"3,75"
Google Maps,Viajes,"5,5","2,25","2,25"
Mercado Libre,Compras,"16,5",8,"7,25"
Patagonia Movil,Productividad y Fiananzas,"7,25","3,5","2,75"
X,Redes Sociales,"24,5",3,"2,25"
Mercado Pago,Productividad y Fiananzas,"12,75","9,75","3,5"
You Tube Music,Ocio,"3,75","1,25","1,5"
App YPF,Productividad y Fiananzas,2,"1,5",1
ICBC,Productividad y Fiananzas,"3,25","1,5",0
LinkendIn,Redes Sociales,6,3,"1,25"
ChatGPT,Productividad y Fiananzas,7,"2,5","1,25"
Autenticación de Usuario,Otros,"2,75",1,0
Personal Pay,Productividad y Fiananzas,"2,25",1,"2,5"
Calendario,Productividad y Fiananzas,"2,5","1,75",1
Calculadora,Otros,4,"3,75",0
Clima,Información,2,5,0
La Caja,Productividad y Fiananzas,"0,25","0,25",0
Flow,Ocio,"16,5","1,25","1,75"
Despegar,Viajes,"0,125","0,25",0
You Tube,Ocio,8,"0,5","0,5"
Cámara,Otros,"4,125","3,75",0
Investing,Productividad y Fiananzas,"2,25","0,5",0
